participant_id_3,time_point,knowledge_general_score,knowledge_warning_score,knowledge_appropriate_score,knowledge_helpful_score,system_support_score,status,inclusive_status,region,attitude_general_score,attitude_acceptability_score,attitude_genderroles_score,attitude_profroles_score,empathy_score,confidence_score,practice_score
54,2,84.21052631578947,100,20,70,83.33333333333334,One & two only,One & two inclusive,Atsabe,67.5,100,58.333333333333336,87.5,87.5,67.5,NA
63,2,73.68421052631578,66.66666666666666,40,70,83.33333333333334,All three,One & two inclusive,Atsabe,60,71.42857142857143,75,50,46.875,52.5,NA
475,2,73.68421052631578,55.55555555555556,80,40,100,Two only,NA,Atsabe,40,100,50,66.66666666666666,57.8125,50,NA
80,2,100,100,60,100,100,One & two only,One & two inclusive,Atsabe,55.00000000000001,57.14285714285714,58.333333333333336,58.333333333333336,81.25,70,NA
86,1,47.368421052631575,0,20,40,100,One & two only,One & two inclusive,Maubara,52.5,78.57142857142857,50,54.166666666666664,32.8125,27.500000000000004,NA
87,1,52.63157894736842,0,20,20,66.66666666666666,One & three only,NA,Maubara,50,100,50,66.66666666666666,48.4375,35,NA
89,1,52.63157894736842,0,20,20,16.666666666666664,All three,One & two inclusive,Maubara,42.5,100,50,45.83333333333333,48.4375,32.5,NA
90,1,68.42105263157895,77.77777777777779,60,40,100,One & two only,One & two inclusive,Maubara,52.5,92.85714285714286,45.83333333333333,75,64.0625,65,NA
94,1,84.21052631578947,0,80,20,50,One & two only,One & two inclusive,Maubara,62.5,100,62.5,87.5,46.875,35,NA
96,1,42.10526315789473,66.66666666666666,0,40,83.33333333333334,All three,One & two inclusive,Maubara,67.5,92.85714285714286,45.83333333333333,66.66666666666666,76.5625,57.49999999999999,NA
98,1,47.368421052631575,44.44444444444444,40,60,83.33333333333334,All three,One & two inclusive,Maubara,47.5,100,41.66666666666667,66.66666666666666,67.1875,40,NA
99,1,52.63157894736842,88.88888888888889,20,70,66.66666666666666,One & two only,One & two inclusive,Maubara,55.00000000000001,64.28571428571429,50,79.16666666666666,60.9375,65,NA
100,1,73.68421052631578,77.77777777777779,20,40,83.33333333333334,All three,One & two inclusive,Maubara,35,85.71428571428571,33.33333333333333,95.83333333333334,79.6875,57.49999999999999,NA
101,1,52.63157894736842,66.66666666666666,80,70,83.33333333333334,One & two only,One & two inclusive,Maubara,52.5,35.714285714285715,41.66666666666667,50,57.8125,37.5,NA
103,1,68.42105263157895,88.88888888888889,80,50,16.666666666666664,One only,NA,Liquica,57.49999999999999,21.428571428571427,50,58.333333333333336,62.5,67.5,NA
104,1,52.63157894736842,44.44444444444444,40,50,33.33333333333333,One only,NA,Maubara,55.00000000000001,64.28571428571429,54.166666666666664,79.16666666666666,70.3125,45,NA
105,1,78.94736842105263,66.66666666666666,80,50,100,All three,One & two inclusive,Maubara,40,35.714285714285715,25,62.5,79.6875,60,NA
106,1,68.42105263157895,33.33333333333333,40,50,66.66666666666666,All three,One & two inclusive,Maubara,37.5,71.42857142857143,50,50,56.25,80,NA
109,1,36.84210526315789,55.55555555555556,40,50,100,One & two only,One & two inclusive,Maubara,30,85.71428571428571,50,62.5,57.8125,37.5,NA
111,1,73.68421052631578,88.88888888888889,60,20,50,One & two only,One & two inclusive,Maubara,40,78.57142857142857,0,0,54.6875,50,NA
113,1,84.21052631578947,100,100,60,100,One only,NA,Maubara,37.5,100,66.66666666666666,58.333333333333336,87.5,72.5,NA
116,1,78.94736842105263,88.88888888888889,80,70,66.66666666666666,One only,NA,Maubara,57.49999999999999,78.57142857142857,54.166666666666664,54.166666666666664,60.9375,40,NA
118,1,52.63157894736842,77.77777777777779,20,30,16.666666666666664,All three,One & two inclusive,Maubara,60,100,50,58.333333333333336,70.3125,35,NA
95,1,68.42105263157895,66.66666666666666,80,70,66.66666666666666,One & two only,One & two inclusive,Maubara,52.5,100,41.66666666666667,62.5,56.25,52.5,NA
106,2,63.1578947368421,88.88888888888889,20,60,66.66666666666666,All three,One & two inclusive,Maubara,70,0,41.66666666666667,87.5,64.0625,60,NA
86,2,63.1578947368421,66.66666666666666,80,80,100,One & two only,One & two inclusive,Maubara,55.00000000000001,28.57142857142857,62.5,66.66666666666666,43.75,47.5,NA
107,2,78.94736842105263,100,80,50,83.33333333333334,Two only,NA,Maubara,40,50,66.66666666666666,62.5,57.8125,67.5,NA
89,2,78.94736842105263,100,80,50,83.33333333333334,All three,One & two inclusive,Maubara,40,50,66.66666666666666,62.5,54.6875,65,NA
90,2,78.94736842105263,100,80,80,50,One & two only,One & two inclusive,Maubara,70,100,83.33333333333334,70.83333333333334,60.9375,65,NA
94,2,78.94736842105263,100,60,60,100,One & two only,One & two inclusive,Maubara,47.5,100,75,66.66666666666666,79.6875,65,NA
96,2,52.63157894736842,88.88888888888889,80,20,100,All three,One & two inclusive,Maubara,50,71.42857142857143,41.66666666666667,58.333333333333336,64.0625,50,NA
98,2,73.68421052631578,88.88888888888889,80,40,100,All three,One & two inclusive,Maubara,50,100,41.66666666666667,37.5,92.1875,77.5,NA
99,2,78.94736842105263,100,80,70,83.33333333333334,One & two only,One & two inclusive,Maubara,62.5,64.28571428571429,50,87.5,78.125,75,NA
100,2,78.94736842105263,66.66666666666666,80,80,100,All three,One & two inclusive,Maubara,50,64.28571428571429,66.66666666666666,66.66666666666666,75,57.49999999999999,NA
101,2,78.94736842105263,88.88888888888889,100,100,100,One & two only,One & two inclusive,Maubara,55.00000000000001,78.57142857142857,54.166666666666664,70.83333333333334,57.8125,35,NA
447,2,78.94736842105263,100,80,70,50,Two only,NA,Maubara,65,35.714285714285715,50,70.83333333333334,62.5,70,NA
119,2,73.68421052631578,66.66666666666666,80,80,100,Two only,NA,Maubara,60,85.71428571428571,50,87.5,73.4375,55.00000000000001,NA
105,2,100,88.88888888888889,100,80,83.33333333333334,All three,One & two inclusive,Maubara,57.49999999999999,100,58.333333333333336,79.16666666666666,79.6875,65,NA
109,2,89.47368421052632,88.88888888888889,80,40,100,One & two only,One & two inclusive,Maubara,50,100,41.66666666666667,54.166666666666664,60.9375,65,NA
111,2,94.73684210526315,100,100,60,83.33333333333334,One & two only,One & two inclusive,Maubara,60,85.71428571428571,54.166666666666664,58.333333333333336,81.25,70,NA
120,2,84.21052631578947,88.88888888888889,100,80,100,Two & three only,NA,Maubara,70,92.85714285714286,75,58.333333333333336,76.5625,60,NA
125,2,94.73684210526315,100,80,90,100,Two only,NA,NA,60,100,66.66666666666666,54.166666666666664,73.4375,47.5,NA
118,2,84.21052631578947,100,100,80,100,All three,One & two inclusive,Maubara,42.5,100,66.66666666666666,100,54.6875,47.5,NA
95,2,84.21052631578947,88.88888888888889,100,80,50,One & two only,One & two inclusive,Maubara,52.5,71.42857142857143,45.83333333333333,45.83333333333333,37.5,42.5,NA
131,1,73.68421052631578,88.88888888888889,80,50,50,One & two only,One & two inclusive,Hatolia,55.00000000000001,57.14285714285714,37.5,29.166666666666668,53.125,52.5,NA
